city,number,latitude,longitude,id_list,Distance to center [km],fetched_url,name,idname
Aschaffenburg,1,49.97315,9.15079,100046798,0.1432,https://data.eco-counter.com/public2/?id=100046798,,
Berlin,1,52.5140658632566,13.41775102070807,100024661,1.9827,https://data.eco-counter.com/public2/?id=100024661,Jannowitzbrücke,Berlin_1
Berlin,2,52.52718,13.37202,100032152,1.6032,https://data.eco-counter.com/public2/?id=100032152,Invalidenstraße,Berlin_2
Berlin,3,52.51373867977201,13.474367159238705,100032154,5.7977,https://data.eco-counter.com/public2/?id=100032154,Frankfurter Allee,Berlin_3
Berlin,4,52.56681,13.41217,100032155,5.7547,https://data.eco-counter.com/public2/?id=100032155,Berliner Straße,Berlin_4
Berlin,5,52.54884,13.40037,100032159,3.6211,https://data.eco-counter.com/public2/?id=100032159,Schwedter Steg,Berlin_5
Berlin,6,52.533665,13.198963,100032161,12.9793,https://data.eco-counter.com/public2/?id=100032161,Klosterstraße,Berlin_6
Berlin,7,52.46676,13.30916,100032163,7.7698,https://data.eco-counter.com/public2/?id=100032163,Breitenbachplatz,Berlin_7
Berlin,8,52.48812,13.36979,100032165,3.4648,https://data.eco-counter.com/public2/?id=100032165,Monumentenstraße,Berlin_8
Berlin,9,52.55819,13.36494,100032169,4.8536,https://data.eco-counter.com/public2/?id=100032169,Markstraße,Berlin_9
Berlin,10,52.49311815915883,13.429149248667873,100032236,3.8091,https://data.eco-counter.com/public2/?id=100032236,Maybachufer,Berlin_10
Berlin,11,52.45775788047353,13.519359601285744,100032237,11.0239,https://data.eco-counter.com/public2/?id=100032237,Kaisersteg,Berlin_11
Berlin,12,52.50025,13.47438,100033035,6.0814,https://data.eco-counter.com/public2/?id=100033035,Paul- und Paula-Uferweg,Berlin_12
Berlin,13,52.4925,13.55849,100033037,11.8009,https://data.eco-counter.com/public2/?id=100033037,Alberichstraße,Berlin_13
Berlin,14,52.49199,13.37412,100033038,2.9583,https://data.eco-counter.com/public2/?id=100033038,Yorckstraße,Berlin_14
Berlin,15,52.49058,13.33308,100033039,4.7863,https://data.eco-counter.com/public2/?id=100033039,Prinzregentenstraße,Berlin_15
Berlin,16,52.50177512317563,13.445688884934569,100053586,4.2037,https://data.eco-counter.com/public2/?id=100053586,Oberbaumbrücke,Berlin_16
Berlin,17,52.43852296779607,13.387829068100944,100064714,8.7306,https://data.eco-counter.com/public2/?id=100064714,Mariendorfer Damm,Berlin_17
Berlin,18,52.51293017936524,13.326764702796938,300019043,4.2266,https://data.eco-counter.com/public2/?id=300019043,Straße des 17. Juni,Berlin_18
Bochum,1,51.46881,7.22925,100048863,1.5908,https://data.eco-counter.com/public2/?id=100048863,,
Bochum,2,51.47929180884493,7.225191440806299,100049071,0.4744,https://data.eco-counter.com/public2/?id=100049071,,
Bonn,1,50.7376321974817,7.10662675446168,100019810,0.4643,https://data.eco-counter.com/public2/?id=100019810,,
Darmstadt,1,49.84743,8.64602,100050420,2.8424,https://data.eco-counter.com/public2/?id=100050420,,
Dortmund,1,51.49925,7.42673,100042617,3.1451,https://data.eco-counter.com/public2/?id=100042617,,
Düsseldorf,1,51.220154,6.7671213,100016424,0.8662,https://data.eco-counter.com/public2/?id=100016424,,
Düsseldorf,1,51.22324,6.7791767,100005014,0.3123,https://data.eco-counter.com/public2/?id=100005014,,
Düsseldorf,2,51.21246,6.7707596,100011631,1.4901,https://data.eco-counter.com/public2/?id=100011631,,
Düsseldorf,3,51.276716778823,6.714075131282815,100011632,7.1639,https://data.eco-counter.com/public2/?id=100011632,,
Düsseldorf,4,51.19622486679657,6.796508431434632,100011637,3.5362,https://data.eco-counter.com/public2/?id=100011637,,
Düsseldorf,5,51.21577,6.77688,100033615,1.0717,https://data.eco-counter.com/public2/?id=100033615,,
Düsseldorf,6,51.217227146046575,6.775415966949505,100033660,0.9111,https://data.eco-counter.com/public2/?id=100033660,,
Düsseldorf,7,51.21074,6.771311,100046689,1.6671,https://data.eco-counter.com/public2/?id=100046689,,
Düsseldorf,8,51.17652,6.80926,100047053,5.9002,https://data.eco-counter.com/public2/?id=100047053,,
Düsseldorf,9,51.18775,6.77722,100047054,4.1872,https://data.eco-counter.com/public2/?id=100047054,,
Düsseldorf,10,51.14898,6.88668,100047279,11.462,https://data.eco-counter.com/public2/?id=100047279,,
Düsseldorf,11,51.23166,6.7632,100047280,1.1481,https://data.eco-counter.com/public2/?id=100047280,,
Düsseldorf,12,51.18834,6.77571,100047281,4.1213,https://data.eco-counter.com/public2/?id=100047281,,
Düsseldorf,13,51.22013672913651,6.767122149467469,300014548,0.8675,https://data.eco-counter.com/public2/?id=300014548,,
Heidelberg,1,49.40911,8.6766615,100011985,1.3071,https://data.eco-counter.com/public2/?id=100011985,,
Karlsruhe,1,49.0072864,8.4027153,100004165,0.0691,https://data.eco-counter.com/public2/?id=100004165,,
Köln,1,50.913017,6.948681,100019755,2.9272,https://data.eco-counter.com/public2/?id=100019755,,
Köln,2,50.930084,6.930417,100019756,2.2665,https://data.eco-counter.com/public2/?id=100019756,,
Köln,3,50.933098,6.8929157,100019757,4.7354,https://data.eco-counter.com/public2/?id=100019757,,
Köln,4,50.962322,6.986403,100019758,3.2444,https://data.eco-counter.com/public2/?id=100019758,,
